"user_id","install_date","d1_active","d3_active","d7_active","d14_active"
"1001152",2023-02-07,0,0,0,0
"1001153",2023-02-07,0,0,0,0
"1001154",2023-02-07,0,0,0,0
"1001156",2023-02-07,0,0,0,0
"1001158",2023-02-07,0,0,0,0
"1001159",2023-02-07,1,0,0,0
"1001160",2023-02-07,0,0,0,0
"1001161",2023-02-07,1,0,0,0
"1001162",2023-02-07,0,0,0,0
"1001167",2023-02-08,0,0,0,0
"1001171",2023-02-08,0,0,0,0
"1001172",2023-02-08,0,0,0,0
"1001177",2023-02-08,0,0,0,0
"1001178",2023-02-08,0,0,0,0
"1001179",2023-02-08,0,0,0,0
"1001183",2023-02-08,0,0,0,0
"1001186",2023-02-08,0,0,0,0
"1001187",2023-02-08,0,0,0,0
"1001188",2023-02-08,0,0,0,0
"1001189",2023-02-08,0,0,0,0
"1001190",2023-02-08,1,0,0,0
"1001191",2023-02-08,1,0,0,0
"1001193",2023-02-08,0,0,0,0
"1001194",2023-02-08,0,0,0,0
"1001195",2023-02-08,0,0,0,0
"1001197",2023-02-08,0,0,0,0
"1001199",2023-02-08,0,0,0,0
"1001200",2023-02-08,0,0,0,0
"1001201",2023-02-08,0,0,0,0
"1001203",2023-02-08,0,0,0,0
"1001205",2023-02-08,0,0,0,0
"1001207",2023-02-08,0,0,0,0
"1001209",2023-02-08,1,0,0,0
"1001211",2023-02-08,0,0,0,0
"1001213",2023-02-08,1,0,0,0
"1001215",2023-02-08,0,0,0,0
"1001220",2023-02-08,0,0,0,0
"1001221",2023-02-08,0,0,0,0
"1001223",2023-02-08,0,0,0,0
"1001224",2023-02-08,0,0,0,0
"1001225",2023-02-08,0,0,0,0
"1001226",2023-02-08,0,0,0,0
"1001230",2023-02-08,0,0,0,0
"1001232",2023-02-08,0,0,0,0
"1001233",2023-02-08,0,0,0,0
"1001234",2023-02-08,0,0,0,0
"1001235",2023-02-08,0,0,0,0
"1001236",2023-02-08,1,0,0,0
"1001239",2023-02-08,0,0,0,0
"1001243",2023-02-08,0,0,0,0
"1001244",2023-02-08,0,0,0,0
"1001245",2023-02-08,0,0,0,0
"1001247",2023-02-08,0,0,0,0
"1001248",2023-02-08,0,0,0,0
